sample_id,label,face_prob_avg
sample_0000,real,0.24847499281167978
sample_0001,real,0.4638947546482086
sample_0002,real,0.19660044088959688
sample_0003,real,0.2951890677213669
sample_0004,real,0.38314469158649445
sample_0005,real,0.4276491552591324
sample_0006,real,0.420348584651947
sample_0007,real,0.4060854166746139
sample_0008,real,0.33493296802043915
sample_0009,real,0.6163342297077179
sample_0010,real,0.4331539124250412
sample_0011,real,0.5485028475522995
sample_0012,real,0.3727682083845138
sample_0013,real,0.263920396566391
sample_0014,real,0.3378289043903351
sample_0015,real,0.3980967849493027
sample_0016,real,0.3793574124574661
sample_0017,real,0.4235207140445709
sample_0018,real,0.5884960293769836
sample_0019,real,0.29733835160732264
sample_0020,real,0.4233594983816147
sample_0021,real,0.4803893119096756
sample_0022,real,0.32534790039062494
sample_0023,real,0.5106174498796463
sample_0024,real,0.24669441580772394
sample_0025,real,0.4260314255952835
sample_0026,real,0.47614137828350067
sample_0027,real,0.6312742531299591
sample_0028,real,0.4883706569671631
sample_0029,real,0.32805116474628443
sample_0030,real,0.2287565022706985
sample_0031,real,0.32911568880081177
sample_0032,real,0.32790257036685944
sample_0033,real,0.3586674630641937
sample_0034,real,0.5783416777849197
sample_0035,real,0.3095353096723556
sample_0036,real,0.5028315931558609
sample_0037,real,0.2099669687449932
sample_0038,real,0.5432550609111786
sample_0039,real,0.5343932211399078
sample_0040,real,0.4152766317129135
sample_0041,real,0.5614668428897858
sample_0042,real,0.4593618959188461
sample_0043,real,0.26625819504261017
sample_0044,real,0.5338476002216339
sample_0045,real,0.6147855520248413
sample_0046,real,0.5478788465261459
sample_0047,real,0.43534475564956665
sample_0048,real,0.3521199375391006
sample_0049,real,0.1911542415618896
sample_0050,real,0.44621704518795013
sample_0051,real,0.2179781198501587
sample_0052,real,0.3784444332122803
sample_0053,real,0.42633970081806183
sample_0054,real,0.3605723083019256
sample_0055,real,0.4695589691400528
sample_0056,real,0.29386723041534424
sample_0057,real,0.48269103467464447
sample_0058,real,0.4815478026866913
sample_0059,real,0.5723066478967667
sample_0060,real,0.30736416578292847
sample_0061,real,0.3725691065192222
sample_0062,real,0.40310871601104736
sample_0063,real,0.3413058668375015
sample_0064,real,0.2944522351026535
sample_0065,real,0.2457335814833641
sample_0066,real,0.4160841107368469
sample_0067,real,0.4078467935323715
sample_0068,real,0.24625200778245926
sample_0069,real,0.3205177783966064
sample_0070,real,0.41399942338466644
sample_0071,real,0.5152731835842133
sample_0072,real,0.540883481502533
sample_0073,real,0.22482011467218393
sample_0074,real,0.4256795346736908
sample_0075,real,0.45586191117763514
sample_0076,real,0.4099173843860626
sample_0077,real,0.7590423226356506
sample_0078,real,0.41441142559051514
sample_0079,real,0.4527881443500519
sample_0080,real,0.45290061831474304
sample_0081,real,0.37259839475154877
sample_0082,real,0.12868060171604156
sample_0083,real,0.46349257230758667
sample_0084,real,0.5591415464878082
sample_0085,real,0.3603146970272064
sample_0086,real,0.3403398245573044
sample_0087,real,0.5282948017120361
sample_0088,real,0.39133794605731964
sample_0089,real,0.40624034404754633
sample_0090,real,0.48991069197654724
sample_0091,real,0.53105628490448
sample_0092,real,0.3486975431442261
sample_0093,real,0.3371062278747558
sample_0094,real,0.44399893283843994
sample_0095,real,0.4994272142648697
sample_0096,real,0.40930259227752686
sample_0097,real,0.3991668075323105
sample_0098,real,0.3614661693572998
sample_0099,real,0.3278811872005462
sample_0100,real,0.49086354672908783
sample_0101,real,0.4322986900806427
sample_0102,real,0.6449892222881317
sample_0103,real,0.2016643732786178
sample_0104,real,0.4570913761854172
sample_0105,real,0.3800603449344635
sample_0106,real,0.6702735424041748
sample_0107,real,0.6351064890623093
sample_0108,real,0.4513891488313675
sample_0109,real,0.480166494846344
sample_0110,real,0.31053557991981506
sample_0111,real,0.21371203288435933
sample_0112,real,0.4260223060846329
sample_0113,real,0.3169627413153648
sample_0114,real,0.6154856383800507
sample_0115,real,0.4748544543981552
sample_0116,real,0.34981295466423035
sample_0117,real,0.34874214231967926
sample_0118,real,0.4903614670038223
sample_0119,real,0.26285462826490397
sample_0120,real,0.4687010943889618
sample_0121,real,0.4364817291498184
sample_0122,real,0.2886908054351806
sample_0123,real,0.5322745144367218
sample_0124,real,0.41379213333129883
sample_0125,real,0.5291924178600311
sample_0126,real,0.4456421136856079
sample_0127,real,0.4689577966928482
sample_0128,real,0.29322555661201477
sample_0129,real,0.5412820726633072
sample_0130,real,0.3339570015668869
sample_0131,real,0.35798732936382294
sample_0132,real,0.3395352810621261
sample_0133,real,0.23315981030464172
sample_0134,real,0.28300192952156067
sample_0135,real,0.563012033700943
sample_0136,real,0.34610313177108765
sample_0137,real,0.5362049043178558
sample_0138,real,0.3789602518081665
sample_0139,real,0.2471833527088165
sample_0140,real,0.4881885051727295
sample_0141,real,0.41813559830188746
sample_0142,real,0.5044133812189102
sample_0143,real,0.6339696943759918
sample_0144,real,0.433442085981369
sample_0145,real,0.4173341244459152
sample_0146,real,0.46684496104717255
sample_0147,real,0.44930005073547363
sample_0148,real,0.5394611656665802
sample_0149,real,0.4998796433210373
sample_0150,real,0.4262982308864593
sample_0151,real,0.45599906146526337
sample_0152,real,0.49547766149044037
sample_0153,real,0.31310799717903137
sample_0154,real,0.2929125353693962
sample_0155,real,0.3149019852280617
sample_0156,real,0.41755492985248566
sample_0157,real,0.4290332049131393
sample_0158,real,0.2192018181085586
sample_0159,real,0.392565593123436
sample_0160,real,0.27519638836383814
sample_0161,real,0.3913268744945526
sample_0162,real,0.4252685159444809
sample_0163,real,0.5710270702838898
sample_0164,real,0.3439868092536926
sample_0165,real,0.5340860038995743
sample_0166,real,0.4508431553840637
sample_0167,real,0.2965920865535736
sample_0168,real,0.4431699514389038
sample_0169,real,0.41977728903293604
sample_0170,real,0.4200105220079422
sample_0171,real,0.388583704829216
sample_0172,real,0.43192438781261444
sample_0173,real,0.37596043944358826
sample_0174,real,0.4669538587331772
sample_0175,real,0.5083036720752716
sample_0176,real,0.3982349187135696
sample_0177,real,0.3014160245656967
sample_0178,real,0.3802039325237274
sample_0179,real,0.4187317192554474
sample_0180,real,0.5240392237901688
sample_0181,real,0.24571041017770764
sample_0182,real,0.3647211790084839
sample_0183,real,0.5637854337692261
sample_0184,real,0.2923788651823997
sample_0185,real,0.5650886297225952
sample_0186,real,0.6072978079319
sample_0187,real,0.4108472317457199
sample_0188,real,0.5135631263256073
sample_0189,real,0.6495569944381714
sample_0190,real,0.3111582100391388
sample_0191,real,0.23826451599597925
sample_0192,real,0.529701292514801
sample_0193,real,0.38701893389225
sample_0194,real,0.4733269512653351
sample_0195,real,0.44552241265773773
sample_0196,real,0.40668066591024393
sample_0197,real,0.3027932941913605
sample_0198,real,0.37921132147312164
sample_0199,real,0.32358330488204956
sample_0200,real,0.5082665085792542
sample_0201,real,0.526712641119957
sample_0202,real,0.47856613993644714
sample_0203,real,0.2726136445999145
sample_0204,real,0.5174129456281662
sample_0205,real,0.1456093862652778
sample_0206,real,0.49188317358493805
sample_0207,real,0.36496134102344513
sample_0208,real,0.315974697470665
sample_0209,real,0.37049277126789093
sample_0210,real,0.46527960896492004
sample_0211,real,0.46079543232917786
sample_0212,real,0.4104140102863312
sample_0213,real,0.5234613418579102
sample_0214,real,0.3168316036462784
sample_0215,real,0.3977876454591751
sample_0216,real,0.5423078536987305
sample_0217,real,0.5156322568655014
sample_0218,real,0.5024637281894684
sample_0219,real,0.40921139717102045
sample_0220,real,0.4356021285057068
sample_0221,real,0.5472211241722107
sample_0222,real,0.2323736809194088
sample_0223,real,0.49370716512203217
sample_0224,real,0.626982182264328
sample_0225,real,0.45658648014068604
sample_0226,real,0.39805495738983154
sample_0227,real,0.5054824650287628
sample_0228,real,0.42952884733676905
sample_0229,real,0.290402427315712
sample_0230,real,0.3562004268169403
sample_0231,real,0.5240703374147415
sample_0232,real,0.5268128216266632
sample_0233,real,0.2188453376293182
sample_0234,real,0.32276467978954315
sample_0235,real,0.2902396619319916
